iter	Passed	Remaining
0	60	12093
1	71	7101
2	80	5289
3	87	4278
4	95	3716
5	101	3294
6	109	3008
7	114	2750
8	120	2555
9	126	2406
10	133	2286
11	139	2187
12	146	2111
13	152	2028
14	158	1952
15	164	1893
16	171	1844
17	177	1790
18	183	1745
19	189	1705
20	195	1667
21	201	1632
22	207	1595
23	214	1571
24	219	1538
25	226	1512
26	232	1486
27	236	1454
28	240	1417
29	246	1394
30	254	1385
31	259	1364
32	266	1348
33	274	1340
34	281	1325
35	288	1313
36	294	1296
37	301	1283
38	308	1274
39	313	1252
40	317	1230
41	325	1225
42	328	1200
43	332	1178
44	337	1163
45	345	1157
46	350	1142
47	356	1127
48	360	1111
49	365	1097
50	370	1082
51	376	1071
52	381	1058
53	386	1044
54	392	1035
55	398	1025
56	404	1015
57	409	1003
58	416	994
59	418	977
60	424	967
61	430	957
62	435	948
63	438	931
64	445	926
65	451	917
66	455	904
67	458	890
68	462	877
69	465	864
70	468	850
71	473	842
72	475	826
73	480	818
74	488	813
75	494	806
76	502	802
77	508	795
78	517	792
79	523	785
80	529	778
81	531	765
82	538	759
83	542	749
84	548	742
85	554	735
86	560	727
87	567	722
88	573	715
89	581	710
90	584	700
91	591	694
92	598	689
93	605	682
94	611	676
95	616	667
96	622	661
97	630	655
98	635	648
99	642	642
100	649	636
101	655	629
102	661	622
103	669	617
104	674	610
105	680	603
106	685	595
107	690	588
108	696	581
109	702	574
110	710	569
111	716	562
112	721	555
113	729	549
114	734	542
115	740	535
116	746	529
117	752	522
118	757	515
119	761	507
120	769	502
121	775	495
122	780	488
123	787	482
124	795	477
125	801	470
126	808	464
127	815	458
128	822	452
129	829	446
130	835	440
131	841	433
132	845	426
133	852	420
134	860	414
135	867	408
136	873	401
137	880	395
138	887	389
139	893	382
140	899	376
141	906	370
142	913	363
143	917	356
144	925	351
145	932	344
146	937	338
147	943	331
148	950	325
149	956	318
150	962	312
151	966	305
152	974	299
153	980	292
154	986	286
155	991	279
156	998	273
157	1004	267
158	1012	261
159	1019	254
160	1026	248
161	1033	242
162	1040	236
163	1046	229
164	1051	223
165	1058	216
166	1063	210
167	1069	203
168	1075	197
169	1081	190
170	1087	184
171	1095	178
172	1101	171
173	1109	165
174	1115	159
175	1121	152
176	1127	146
177	1133	140
178	1137	133
179	1143	127
180	1148	120
181	1153	114
182	1158	107
183	1164	101
184	1172	95
185	1178	88
186	1185	82
187	1190	75
188	1196	69
189	1203	63
190	1209	57
191	1215	50
192	1221	44
193	1227	37
194	1233	31
195	1239	25
196	1245	18
197	1252	12
198	1255	6
199	1261	0
